철도운영기관명,선명,역명,지번주소,도로명주소
우이신설경전철주식회사,우이신설,4.19민주묘지,서울특별시 강북구 우이동 72-186,서울특별시 강북구 삼양로 519
우이신설경전철주식회사,우이신설,가오리,서울특별시 강북구 수유동 338-46,서울특별시 강북구 삼양로 426
우이신설경전철주식회사,우이신설,보문,서울특별시 성북구 보문동1가 127-6,서울특별시 성북구 보문로 지하 116
우이신설경전철주식회사,우이신설,북한산보국문,서울특별시 성북구 정릉동 286-19,서울특별시 성북구 보국문로 지하 88
우이신설경전철주식회사,우이신설,북한산우이,서울특별시 강북구 우이동 16-20,서울특별시 강북구 삼양로 지하 676
우이신설경전철주식회사,우이신설,삼양,서울특별시 강북구 미아동 791-4703,서울특별시 강북구 삼양로 지하 259
우이신설경전철주식회사,우이신설,삼양사거리,서울특별시 강북구 미아동 745-142,서울특별시 강북구 삼양로 197
우이신설경전철주식회사,우이신설,성신여대입구,서울특별시 성북구 동선동1가 116-1,서울특별시 성북구 동소문로 지하 102
우이신설경전철주식회사,우이신설,솔밭공원,서울특별시 강북구 우이동 57-28,서울특별시 강북구 삼양로 595
우이신설경전철주식회사,우이신설,솔샘,서울특별시 강북구 미아동 1353-20,서울특별시 강북구 솔샘로 지하 189
우이신설경전철주식회사,우이신설,신설동,서울특별시 동대문구 신설동 132-259,서울특별시 동대문구 왕산로 지하 1
우이신설경전철주식회사,우이신설,정릉,서울특별시 성북구 정릉동 139-80,서울특별시 성북구 아리랑로 지하 112
우이신설경전철주식회사,우이신설,화계,서울특별시 강북구 수유동 472-677,서울특별시 강북구 삼양로 341
